#,PairIdx,Rank,Word1,Word2,Joke,GPT_Score,Mistral_0to4,Mistral_Norm,Final_0to10,Human_Rating
178,18,2,caffeinated,squirrel,"I can't believe I got fired just because of a typo! I meant to write: ""I will not steal a tree."" Instead I wrote: ""I will not steal a caffeinated squirrel.""",6.55,2.52,5.71,6.21,
179,18,3,caffeinated,squirrel,"Ever notice how a caffeinated squirrel is basically a toddler on a sugar rush—darting from branch to branch, storing nuts like they're to‑do lists you can't finish?",6.80,2.35,5.25,6.18,
180,18,4,caffeinated,squirrel,The secret to my morning productivity? I listened to a podcast narrated by a caffeinated squirrel—its rapid chatter kept me cracking like an almond butter jar.,6.60,2.30,5.10,6.00,
181,18,5,caffeinated,squirrel,Why did the caffeinated squirrel bring a tiny espresso to the tree? Because it wanted to go nuts on the double shot!,6.20,2.41,5.39,5.88,
182,18,6,caffeinated,squirrel,"If you ever need a stock‑market tip, just ask the caffeinated squirrel; it trades nuts at hyper speed and never sleeps on a chart.",6.30,2.30,5.11,5.82,
183,18,7,caffeinated,squirrel,What do you call a squirrel with a caffeine addiction? Nutty by nature.,5.80,2.32,5.17,5.55,
184,18,8,caffeinated,squirrel,A bushy-tailed squirrel with coffee beans in its eyes.,5.70,2.18,4.85,5.36,
185,18,9,caffeinated,squirrel,"If you're ever bothered by a squirrel in your home, just drape a towel over its head and it will calm down instantly.   This is because squirrels can't see above their nuts.",3.50,2.49,5.63,4.35,
186,18,10,caffeinated,squirrel,What do you call a squirrel that climbs a tree? Nutty as a nut tree.,3.10,2.36,5.27,3.97,
187,18,11,caffeinated,squirrel,"I was going to be a coffee shop owner, but I didn't have the capital. Then I realized I wasn't above ground.",2.20,2.53,5.73,3.61,
188,19,1,confused,mailbox,"My brain sometimes feels like a confused mailbox; thoughts pile up, I flag them for later, and the only delivery I get is a “you’ve got mail” notification from my own head.",7.85,2.63,5.99,7.11,
189,19,2,confused,mailbox,"In an alternate universe a confused mailbox is a therapist—drop a letter and it replies, “Tell me why you’re feeling so stamped.”",7.90,2.38,5.33,6.87,
190,19,3,confused,mailbox,"I told my mailbox I was confused about the address, and now it keeps sending my feelings back with a polite ‘return to sender.’",7.85,2.38,5.33,6.84,
191,19,4,confused,mailbox,"A confused mailbox tried yoga, but every time it bowed, the letters fell out and shouted, “Namaste, we’re still undelivered!”",7.35,2.46,5.53,6.62,
192,19,5,confused,mailbox,"Ever notice how you feel confused when the mailbox is full? It’s the only place where the clutter screams, “I’ve got mail, but I’m not sure what you wanted.”",6.25,2.83,6.55,6.37,
193,19,6,confused,mailbox,What did the confused mailbox say to the perplexed postman? Neither one of us knows where the hell this is.,6.25,2.37,5.31,5.87,
194,19,7,confused,mailbox,"I got a letter from my life insurance company today. It said, “Sincerely, your life insurance company.”  I thought, “Who the fuck is my life insurance company?”",4.20,2.77,6.39,5.08,
195,19,8,confused,mailbox,"BREAKING: In a press media briefing, the Post Office has officially confirmed that they are switching to metric units of measurement. When asked why this change was being made, a spokesperson stated that ""it was always 1 meter to a gram"".",3.45,2.44,5.50,4.27,
196,19,9,confused,mailbox,"A confused mailbox: ""What the fuck?!""  Edit: OMG Thank you stranger for my first award!",4.30,1.85,4.13,4.23,
197,19,10,confused,mailbox,Breaking News: Government shutdown ends as Bill Gates has agreed to pay for Trump's wall On the condition that he gets to install windows. [Official statement from the Government],3.30,2.37,5.30,4.10,
198,19,11,confused,mailbox,"What’s the difference between an atom and an atom bomb? One has a nucleus, the other has a radius of destruction.",2.75,2.25,4.97,3.64,
